"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"13736",7,"EE","Very interested","4","3","3","Yes","Yes","No","No","No","No","No","No","No","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13737",7,"EE","Hardly interested","4","5","5","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13738",7,"EE","Quite interested","2","3","5","Yes","No","No","No","No","Yes","No","No","Yes","2","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13739",7,"EE","Quite interested","8","7","8","Don't know","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13852",7,"ES","Hardly interested","4","No trust at all","2","Yes","No","No","No","No","No","No","No","No","2","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"13858",7,"ES","Very interested","1","No trust at all","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Extremely dissatisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13869",7,"ES","Hardly interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","No","Not applicable","Yes, previously"
"13873",7,"ES","Quite interested","7","5","7","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"13889",7,"ES","Hardly interested","4","No trust at all","5","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13903",7,"ES","Not at all interested","2","1","5","Not eligible to vote","No","No","No","No","No","No","No","No","2","Male","ES-ISCED I , less than lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"13909",7,"ES","Quite interested","3","6","7","No","No","Yes","Yes","Yes","Yes","No","Yes","No","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13915",7,"ES","Not at all interested","7","3","7","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13929",7,"ES","Hardly interested","2","2","2","Yes","No","No","No","No","No","No","No","Yes","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13960",7,"ES","Not at all interested","5","No trust at all","5","Not eligible to vote","No","No","No","No","No","No","No","Yes","3","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13966",7,"ES","Quite interested","3","3","6","Yes","Yes","No","No","No","No","No","No","Yes","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13975",7,"ES","Very interested","7","1","6","Yes","No","No","No","No","Yes","No","No","Yes","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13986",7,"ES","Hardly interested","7","2","3","Yes","No","No","No","No","Yes","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13990",7,"ES","Not at all interested","5","2","2","Yes","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13996",7,"ES","Quite interested","Don't know","5","5","Yes","No","No","Yes","No","No","No","No","Don't know","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13999",7,"ES","Quite interested","4","5","5","No","No","No","No","No","Yes","No","No","No","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not applicable","Yes","Not applicable","No"
"14004",7,"ES","Hardly interested","6","5","5","Yes","No","No","No","No","No","No","No","No","3","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"14006",7,"ES","Hardly interested","Don't know","No trust at all","Don't know","Yes","No","No","No","No","No","No","No","Yes","3","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"14007",7,"ES","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"14012",7,"ES","Hardly interested","3","3","6","Yes","No","No","No","No","Yes","No","No","No","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Unemployed, looking for job","Yes","Limited","No"
"14061",7,"ES","Hardly interested","5","8","8","Not eligible to vote","No","No","No","No","No","No","No","Yes","9","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"14067",7,"ES","Not at all interested","No trust at all","No trust at all","No trust at all","Don't know","No","No","No","No","Yes","No","Yes","No","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Education","Yes","Limited","No"
"14079",7,"ES","Quite interested","2","No trust at all","5","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","2","Female","ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"14087",7,"ES","Quite interested","No trust at all","2","1","Yes","No","Yes","No","No","Yes","No","No","Yes","Extremely dissatisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"14095",7,"ES","Hardly interested","1","2","3","Yes","No","No","No","No","Yes","Yes","Yes","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"14102",7,"ES","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"14108",7,"ES","Not at all interested","1","No trust at all","2","Not eligible to vote","No","No","No","No","No","No","Yes","Yes","4","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"14109",7,"ES","Very interested","5","1","7","Yes","No","No","No","Yes","Yes","Yes","No","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"14117",7,"ES","Hardly interested","4","2","6","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","1","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"14133",7,"ES","Hardly interested","4","1","4","No","No","No","No","Yes","Yes","Yes","No","No","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, previously"
"14134",7,"ES","Quite interested","No trust at all","No trust at all","1","No","Yes","No","No","Yes","Yes","No","No","Yes","Extremely dissatisfied","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"14138",7,"ES","Hardly interested","5","No trust at all","7","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"14142",7,"ES","Hardly interested","6","1","4","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"14146",7,"ES","Hardly interested","5","4","5","Not eligible to vote","No","No","Yes","No","No","No","No","Yes","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"14150",7,"ES","Not at all interested","5","5","7","Not eligible to vote","Yes","No","No","No","No","No","Yes","Yes","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Unemployed, not looking for job","Yes","Not applicable","No"
"14153",7,"ES","Hardly interested","No trust at all","No trust at all","5","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"14166",7,"ES","Hardly interested","5","No trust at all","6","Yes","No","No","No","No","Yes","Yes","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"14168",7,"ES","Not at all interested","5","5","8","Not eligible to vote","No","No","No","No","No","No","No","No","8","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Limited","No"
"14179",7,"ES","Not at all interested","3","1","No trust at all","Yes","No","No","No","No","No","No","No","Yes","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Unemployed, looking for job","Yes","Unlimited","No"
"14181",7,"ES","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Housework, looking after children, others","Yes","Limited","No"
"14201",7,"ES","Hardly interested","3","1","2","Yes","No","No","No","No","No","No","No","No","2","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"14212",7,"ES","Quite interested","No trust at all","No trust at all","No trust at all","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","No"
"14215",7,"ES","Not at all interested","No trust at all","No trust at all","2","No","No","No","No","No","No","No","No","Don't know","3","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"14247",7,"ES","Very interested","2","2","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"14248",7,"ES","Quite interested","5","3","5","Yes","No","No","No","No","No","Yes","No","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"14251",7,"ES","Quite interested","No trust at all","No trust at all","Don't know","No","No","No","No","Yes","Yes","No","No","Yes","5","Female","ES-ISCED I , less than lower secondary","Not marked","Marked","Not marked","Housework, looking after children, others","Yes","Limited","No"
"14253",7,"ES","Quite interested","7","7","9","Not eligible to vote","No","No","No","Yes","Yes","No","Yes","Yes","9","Male","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"14276",7,"ES","Very interested","2","2","1","Yes","No","No","No","No","No","Yes","No","Yes","2","Male","ES-ISCED V2, higher tertiary education, >= MA level","Marked","Marked","Not marked","Unemployed, not looking for job","No","Not applicable","No"
